#    L    TT             EE             BB             TE          
   270    0.48658E+04    0.43749E+01    0.21237E-01    0.91263E+02
   271    0.48392E+04    0.44985E+01    0.21374E-01    0.92491E+02
   272    0.48124E+04    0.46245E+01    0.21510E-01    0.93691E+02
   273    0.47851E+04    0.47521E+01    0.21646E-01    0.94876E+02
   274    0.47576E+04    0.48821E+01    0.21782E-01    0.96024E+02
   275    0.47297E+04    0.50139E+01    0.21917E-01    0.97157E+02
   276    0.47016E+04    0.51477E+01    0.22052E-01    0.98254E+02
   277    0.46730E+04    0.52835E+01    0.22186E-01    0.99336E+02
   278    0.46442E+04    0.54213E+01    0.22319E-01    0.10038E+03
   279    0.46152E+04    0.55609E+01    0.22452E-01    0.10140E+03
   280    0.45858E+04    0.57024E+01    0.22585E-01    0.10240E+03
   281    0.45563E+04    0.58458E+01    0.22716E-01    0.10337E+03
   282    0.45263E+04    0.59909E+01    0.22848E-01    0.10430E+03
   283    0.44963E+04    0.61379E+01    0.22978E-01    0.10521E+03
   284    0.44660E+04    0.62867E+01    0.23108E-01    0.10609E+03
   285    0.44354E+04    0.64372E+01    0.23238E-01    0.10693E+03
   286    0.44046E+04    0.65894E+01    0.23367E-01    0.10775E+03
   287    0.43736E+04    0.67433E+01    0.23495E-01    0.10854E+03
   288    0.43424E+04    0.68988E+01    0.23623E-01    0.10929E+03
   289    0.43110E+04    0.70559E+01    0.23750E-01    0.11001E+03
   290    0.42795E+04    0.72144E+01    0.23876E-01    0.11071E+03
   291    0.42478E+04    0.73751E+01    0.24001E-01    0.11136E+03
   292    0.42157E+04    0.75368E+01    0.24126E-01    0.11199E+03
   293    0.41837E+04    0.76993E+01    0.24251E-01    0.11258E+03
   294    0.41515E+04    0.78639E+01    0.24374E-01    0.11314E+03
   295    0.41193E+04    0.80292E+01    0.24497E-01    0.11366E+03
   296    0.40868E+04    0.81966E+01    0.24620E-01    0.11415E+03
   297    0.40543E+04    0.83640E+01    0.24741E-01    0.11462E+03
   298    0.40216E+04    0.85336E+01    0.24862E-01    0.11504E+03
   299    0.39888E+04    0.87047E+01    0.24983E-01    0.11542E+03
   300    0.39559E+04    0.88756E+01    0.25102E-01    0.11577E+03
   301    0.39230E+04    0.90480E+01    0.25221E-01    0.11608E+03
   302    0.38900E+04    0.92211E+01    0.25339E-01    0.11637E+03
   303    0.38570E+04    0.93957E+01    0.25457E-01    0.11662E+03
   304    0.38239E+04    0.95716E+01    0.25574E-01    0.11682E+03
   305    0.37908E+04    0.97476E+01    0.25690E-01    0.11699E+03
   306    0.37576E+04    0.99242E+01    0.25805E-01    0.11713E+03
   307    0.37245E+04    0.10102E+02    0.25920E-01    0.11722E+03
   308    0.36913E+04    0.10281E+02    0.26034E-01    0.11729E+03
   309    0.36583E+04    0.10460E+02    0.26147E-01    0.11731E+03
   310    0.36251E+04    0.10638E+02    0.26260E-01    0.11730E+03
   311    0.35920E+04    0.10819E+02    0.26372E-01    0.11725E+03
   312    0.35590E+04    0.10999E+02    0.26483E-01    0.11717E+03
   313    0.35261E+04    0.11180E+02    0.26594E-01    0.11704E+03
   314    0.34931E+04    0.11362E+02    0.26704E-01    0.11689E+03
   315    0.34603E+04    0.11543E+02    0.26813E-01    0.11669E+03
   316    0.34275E+04    0.11724E+02    0.26922E-01    0.11646E+03
   317    0.33949E+04    0.11905E+02    0.27030E-01    0.11619E+03
   318    0.33622E+04    0.12087E+02    0.27137E-01    0.11588E+03
   319    0.33298E+04    0.12268E+02    0.27244E-01    0.11554E+03
   320    0.32975E+04    0.12450E+02    0.27350E-01    0.11517E+03
   321    0.32652E+04    0.12632E+02    0.27455E-01    0.11475E+03
   322    0.32331E+04    0.12813E+02    0.27560E-01    0.11430E+03
   323    0.32012E+04    0.12993E+02    0.27664E-01    0.11381E+03
   324    0.31694E+04    0.13175E+02    0.27767E-01    0.11328E+03
   325    0.31378E+04    0.13353E+02    0.27870E-01    0.11273E+03
   326    0.31063E+04    0.13533E+02    0.27972E-01    0.11212E+03
   327    0.30751E+04    0.13712E+02    0.28074E-01    0.11149E+03
   328    0.30440E+04    0.13890E+02    0.28175E-01    0.11083E+03
   329    0.30131E+04    0.14067E+02    0.28275E-01    0.11012E+03
   330    0.29824E+04    0.14243E+02    0.28375E-01    0.10938E+03
