#    L    TT             EE             BB             TE             PP             TP             EP          
   185    0.52183E+04    0.71354E+00    0.00000E+00   -0.29695E+02    0.55822E-07    0.12925E-05   -0.20803E-08
   186    0.52376E+04    0.70482E+00    0.00000E+00   -0.28809E+02    0.55519E-07    0.12802E-05   -0.20604E-08
   187    0.52568E+04    0.69647E+00    0.00000E+00   -0.27897E+02    0.55218E-07    0.12495E-05   -0.20109E-08
   188    0.52755E+04    0.68848E+00    0.00000E+00   -0.26961E+02    0.54920E-07    0.12021E-05   -0.19347E-08
   189    0.52936E+04    0.68089E+00    0.00000E+00   -0.26000E+02    0.54624E-07    0.11399E-05   -0.18346E-08
   190    0.53115E+04    0.67375E+00    0.00000E+00   -0.25015E+02    0.54331E-07    0.10647E-05   -0.17136E-08
   191    0.53285E+04    0.66708E+00    0.00000E+00   -0.24004E+02    0.54040E-07    0.97841E-06   -0.15747E-08
   192    0.53451E+04    0.66090E+00    0.00000E+00   -0.22969E+02    0.53752E-07    0.88276E-06   -0.14208E-08
   193    0.53612E+04    0.65526E+00    0.00000E+00   -0.21911E+02    0.53467E-07    0.77960E-06   -0.12547E-08
   194    0.53769E+04    0.65018E+00    0.00000E+00   -0.20829E+02    0.53183E-07    0.67075E-06   -0.10795E-08
   195    0.53920E+04    0.64570E+00    0.00000E+00   -0.19724E+02    0.52902E-07    0.55802E-06   -0.89810E-09
   196    0.54065E+04    0.64186E+00    0.00000E+00   -0.18595E+02    0.52624E-07    0.44324E-06   -0.71337E-09
   197    0.54205E+04    0.63870E+00    0.00000E+00   -0.17445E+02    0.52348E-07    0.32823E-06   -0.52827E-09
   198    0.54341E+04    0.63624E+00    0.00000E+00   -0.16272E+02    0.52074E-07    0.21481E-06   -0.34572E-09
   199    0.54471E+04    0.63452E+00    0.00000E+00   -0.15078E+02    0.51802E-07    0.10479E-06   -0.16865E-09
   200    0.54596E+04    0.63357E+00    0.00000E+00   -0.13862E+02    0.51533E-07    0.00000E+00    0.00000E+00
   201    0.54716E+04    0.63345E+00    0.00000E+00   -0.12625E+02    0.51266E-07   -0.98079E-07    0.15785E-09
   202    0.54830E+04    0.63415E+00    0.00000E+00   -0.11367E+02    0.51001E-07   -0.18929E-06    0.30466E-09
   203    0.54938E+04    0.63575E+00    0.00000E+00   -0.10088E+02    0.50738E-07   -0.27382E-06    0.44070E-09
   204    0.55040E+04    0.63827E+00    0.00000E+00   -0.87906E+01    0.50478E-07   -0.35184E-06    0.56627E-09
   205    0.55137E+04    0.64174E+00    0.00000E+00   -0.74732E+01    0.50219E-07   -0.42353E-06    0.68165E-09
   206    0.55227E+04    0.64620E+00    0.00000E+00   -0.61366E+01    0.49963E-07   -0.48908E-06    0.78714E-09
   207    0.55312E+04    0.65167E+00    0.00000E+00   -0.47813E+01    0.49709E-07   -0.54865E-06    0.88303E-09
   208    0.55389E+04    0.65821E+00    0.00000E+00   -0.34079E+01    0.49457E-07   -0.60244E-06    0.96959E-09
   209    0.55461E+04    0.66584E+00    0.00000E+00   -0.20166E+01    0.49207E-07   -0.65061E-06    0.10471E-08
   210    0.55527E+04    0.67461E+00    0.00000E+00   -0.60842E+00    0.48959E-07   -0.69336E-06    0.11159E-08
   211    0.55586E+04    0.68454E+00    0.00000E+00    0.81666E+00    0.48713E-07   -0.73084E-06    0.11763E-08
   212    0.55639E+04    0.69567E+00    0.00000E+00    0.22577E+01    0.48469E-07   -0.76326E-06    0.12284E-08
   213    0.55686E+04    0.70803E+00    0.00000E+00    0.37148E+01    0.48227E-07   -0.79078E-06    0.12727E-08
   214    0.55727E+04    0.72163E+00    0.00000E+00    0.51866E+01    0.47988E-07   -0.81358E-06    0.13094E-08
   215    0.55762E+04    0.73665E+00    0.00000E+00    0.66726E+01    0.47750E-07   -0.83185E-06    0.13388E-08
   216    0.55790E+04    0.75291E+00    0.00000E+00    0.81732E+01    0.47514E-07   -0.84575E-06    0.13612E-08
   217    0.55813E+04    0.77055E+00    0.00000E+00    0.96864E+01    0.47280E-07   -0.85548E-06    0.13768E-08
   218    0.55830E+04    0.78959E+00    0.00000E+00    0.11213E+02    0.47048E-07   -0.86120E-06    0.13861E-08
   219    0.55840E+04    0.81002E+00    0.00000E+00    0.12752E+02    0.46817E-07   -0.86311E-06    0.13891E-08
   220    0.55845E+04    0.83198E+00    0.00000E+00    0.14302E+02    0.46589E-07   -0.86137E-06    0.13863E-08
