#    L    TT             EE             BB             TE             PP             TP             EP          
   183    0.51776E+04    0.73184E+00    0.00000E+00   -0.31389E+02    0.56434E-07    0.12542E-05   -0.20176E-08
   184    0.51982E+04    0.72250E+00    0.00000E+00   -0.30554E+02    0.56125E-07    0.12843E-05   -0.20660E-08
   185    0.52183E+04    0.71354E+00    0.00000E+00   -0.29695E+02    0.55819E-07    0.12922E-05   -0.20787E-08
   186    0.52377E+04    0.70481E+00    0.00000E+00   -0.28809E+02    0.55515E-07    0.12799E-05   -0.20589E-08
   187    0.52568E+04    0.69647E+00    0.00000E+00   -0.27897E+02    0.55214E-07    0.12492E-05   -0.20095E-08
   188    0.52755E+04    0.68848E+00    0.00000E+00   -0.26961E+02    0.54916E-07    0.12018E-05   -0.19333E-08
   189    0.52936E+04    0.68089E+00    0.00000E+00   -0.26000E+02    0.54620E-07    0.11396E-05   -0.18333E-08
   190    0.53115E+04    0.67375E+00    0.00000E+00   -0.25015E+02    0.54327E-07    0.10645E-05   -0.17124E-08
   191    0.53285E+04    0.66708E+00    0.00000E+00   -0.24004E+02    0.54037E-07    0.97818E-06   -0.15736E-08
   192    0.53451E+04    0.66090E+00    0.00000E+00   -0.22969E+02    0.53748E-07    0.88256E-06   -0.14197E-08
   193    0.53612E+04    0.65525E+00    0.00000E+00   -0.21911E+02    0.53463E-07    0.77942E-06   -0.12538E-08
   194    0.53769E+04    0.65017E+00    0.00000E+00   -0.20829E+02    0.53179E-07    0.67059E-06   -0.10787E-08
   195    0.53920E+04    0.64570E+00    0.00000E+00   -0.19724E+02    0.52899E-07    0.55789E-06   -0.89745E-09
   196    0.54065E+04    0.64185E+00    0.00000E+00   -0.18596E+02    0.52620E-07    0.44314E-06   -0.71285E-09
   197    0.54205E+04    0.63869E+00    0.00000E+00   -0.17445E+02    0.52344E-07    0.32815E-06   -0.52788E-09
   198    0.54341E+04    0.63624E+00    0.00000E+00   -0.16273E+02    0.52070E-07    0.21476E-06   -0.34547E-09
   199    0.54471E+04    0.63452E+00    0.00000E+00   -0.15078E+02    0.51798E-07    0.10477E-06   -0.16853E-09
   200    0.54596E+04    0.63357E+00    0.00000E+00   -0.13862E+02    0.51529E-07    0.00000E+00    0.00000E+00
   201    0.54716E+04    0.63344E+00    0.00000E+00   -0.12625E+02    0.51262E-07   -0.98056E-07    0.15774E-09
   202    0.54830E+04    0.63415E+00    0.00000E+00   -0.11367E+02    0.50997E-07   -0.18925E-06    0.30443E-09
   203    0.54938E+04    0.63575E+00    0.00000E+00   -0.10088E+02    0.50734E-07   -0.27376E-06    0.44038E-09
   204    0.55040E+04    0.63826E+00    0.00000E+00   -0.87908E+01    0.50474E-07   -0.35176E-06    0.56586E-09
   205    0.55137E+04    0.64173E+00    0.00000E+00   -0.74733E+01    0.50215E-07   -0.42343E-06    0.68116E-09
   206    0.55227E+04    0.64620E+00    0.00000E+00   -0.61367E+01    0.49959E-07   -0.48896E-06    0.78657E-09
   207    0.55312E+04    0.65167E+00    0.00000E+00   -0.47815E+01    0.49705E-07   -0.54853E-06    0.88239E-09
   208    0.55389E+04    0.65821E+00    0.00000E+00   -0.34080E+01    0.49453E-07   -0.60230E-06    0.96889E-09
   209    0.55461E+04    0.66584E+00    0.00000E+00   -0.20168E+01    0.49203E-07   -0.65046E-06    0.10464E-08
   210    0.55526E+04    0.67461E+00    0.00000E+00   -0.60859E+00    0.48955E-07   -0.69319E-06    0.11151E-08
   211    0.55586E+04    0.68454E+00    0.00000E+00    0.81649E+00    0.48709E-07   -0.73067E-06    0.11754E-08
   212    0.55639E+04    0.69567E+00    0.00000E+00    0.22575E+01    0.48465E-07   -0.76308E-06    0.12275E-08
   213    0.55686E+04    0.70803E+00    0.00000E+00    0.37146E+01    0.48223E-07   -0.79059E-06    0.12718E-08
   214    0.55727E+04    0.72163E+00    0.00000E+00    0.51865E+01    0.47983E-07   -0.81339E-06    0.13085E-08
   215    0.55762E+04    0.73665E+00    0.00000E+00    0.66724E+01    0.47746E-07   -0.83165E-06    0.13378E-08
   216    0.55790E+04    0.75290E+00    0.00000E+00    0.81730E+01    0.47510E-07   -0.84555E-06    0.13602E-08
   217    0.55813E+04    0.77055E+00    0.00000E+00    0.96862E+01    0.47275E-07   -0.85528E-06    0.13758E-08
   218    0.55829E+04    0.78959E+00    0.00000E+00    0.11212E+02    0.47043E-07   -0.86100E-06    0.13851E-08
   219    0.55840E+04    0.81002E+00    0.00000E+00    0.12752E+02    0.46813E-07   -0.86290E-06    0.13881E-08
   220    0.55845E+04    0.83198E+00    0.00000E+00    0.14302E+02    0.46585E-07   -0.86116E-06    0.13853E-08
   221    0.55843E+04    0.85541E+00    0.00000E+00    0.15862E+02    0.46358E-07   -0.85596E-06    0.13769E-08
   222    0.55836E+04    0.88044E+00    0.00000E+00    0.17434E+02    0.46133E-07   -0.84747E-06    0.13633E-08
   223    0.55822E+04    0.90702E+00    0.00000E+00    0.19016E+02    0.45910E-07   -0.83587E-06    0.13446E-08
   224    0.55803E+04    0.93512E+00    0.00000E+00    0.20605E+02    0.45689E-07   -0.82134E-06    0.13213E-08
   225    0.55777E+04    0.96491E+00    0.00000E+00    0.22204E+02    0.45470E-07   -0.80406E-06    0.12935E-08
