#    L    TT             EE             BB             TE          
   314    0.34931E+04    0.11362E+02    0.27696E-01    0.11689E+03
   315    0.34603E+04    0.11543E+02    0.27812E-01    0.11669E+03
   316    0.34275E+04    0.11725E+02    0.27927E-01    0.11646E+03
   317    0.33948E+04    0.11905E+02    0.28041E-01    0.11619E+03
   318    0.33622E+04    0.12088E+02    0.28155E-01    0.11588E+03
   319    0.33298E+04    0.12269E+02    0.28268E-01    0.11554E+03
   320    0.32974E+04    0.12450E+02    0.28381E-01    0.11516E+03
   321    0.32652E+04    0.12632E+02    0.28492E-01    0.11475E+03
   322    0.32331E+04    0.12813E+02    0.28603E-01    0.11430E+03
   323    0.32012E+04    0.12994E+02    0.28714E-01    0.11381E+03
   324    0.31694E+04    0.13175E+02    0.28824E-01    0.11328E+03
   325    0.31378E+04    0.13353E+02    0.28933E-01    0.11272E+03
   326    0.31063E+04    0.13533E+02    0.29041E-01    0.11212E+03
   327    0.30750E+04    0.13712E+02    0.29149E-01    0.11149E+03
   328    0.30440E+04    0.13890E+02    0.29257E-01    0.11082E+03
   329    0.30131E+04    0.14068E+02    0.29363E-01    0.11012E+03
   330    0.29824E+04    0.14244E+02    0.29470E-01    0.10937E+03
   331    0.29520E+04    0.14419E+02    0.29575E-01    0.10860E+03
   332    0.29218E+04    0.14595E+02    0.29681E-01    0.10780E+03
   333    0.28917E+04    0.14769E+02    0.29786E-01    0.10697E+03
   334    0.28620E+04    0.14942E+02    0.29890E-01    0.10609E+03
   335    0.28324E+04    0.15113E+02    0.29994E-01    0.10518E+03
   336    0.28031E+04    0.15283E+02    0.30097E-01    0.10425E+03
   337    0.27741E+04    0.15453E+02    0.30200E-01    0.10326E+03
   338    0.27453E+04    0.15620E+02    0.30303E-01    0.10226E+03
   339    0.27169E+04    0.15787E+02    0.30406E-01    0.10122E+03
   340    0.26887E+04    0.15953E+02    0.30508E-01    0.10016E+03
   341    0.26607E+04    0.16116E+02    0.30609E-01    0.99051E+02
   342    0.26331E+04    0.16279E+02    0.30711E-01    0.97916E+02
   343    0.26058E+04    0.16439E+02    0.30812E-01    0.96753E+02
   344    0.25788E+04    0.16597E+02    0.30913E-01    0.95560E+02
   345    0.25521E+04    0.16754E+02    0.31013E-01    0.94338E+02
   346    0.25257E+04    0.16910E+02    0.31114E-01    0.93095E+02
   347    0.24996E+04    0.17062E+02    0.31214E-01    0.91815E+02
   348    0.24739E+04    0.17213E+02    0.31314E-01    0.90506E+02
   349    0.24484E+04    0.17362E+02    0.31414E-01    0.89168E+02
   350    0.24233E+04    0.17508E+02    0.31513E-01    0.87809E+02
   351    0.23988E+04    0.17653E+02    0.31613E-01    0.86420E+02
   352    0.23743E+04    0.17796E+02    0.31712E-01    0.85002E+02
   353    0.23503E+04    0.17936E+02    0.31811E-01    0.83570E+02
   354    0.23266E+04    0.18073E+02    0.31910E-01    0.82101E+02
   355    0.23034E+04    0.18209E+02    0.32009E-01    0.80611E+02
   356    0.22805E+04    0.18342E+02    0.32108E-01    0.79106E+02
   357    0.22579E+04    0.18473E+02    0.32207E-01    0.77573E+02
   358    0.22358E+04    0.18599E+02    0.32305E-01    0.76025E+02
   359    0.22140E+04    0.18724E+02    0.32404E-01    0.74447E+02
   360    0.21926E+04    0.18846E+02    0.32502E-01    0.72852E+02
   361    0.21716E+04    0.18966E+02    0.32601E-01    0.71234E+02
   362    0.21510E+04    0.19082E+02    0.32699E-01    0.69596E+02
   363    0.21308E+04    0.19197E+02    0.32797E-01    0.67941E+02
   364    0.21110E+04    0.19307E+02    0.32896E-01    0.66265E+02
   365    0.20916E+04    0.19415E+02    0.32994E-01    0.64574E+02
   366    0.20726E+04    0.19520E+02    0.33092E-01    0.62865E+02
   367    0.20541E+04    0.19621E+02    0.33190E-01    0.61140E+02
   368    0.20358E+04    0.19719E+02    0.33288E-01    0.59400E+02
   369    0.20181E+04    0.19815E+02    0.33386E-01    0.57643E+02
   370    0.20008E+04    0.19907E+02    0.33485E-01    0.55875E+02
   371    0.19839E+04    0.19995E+02    0.33583E-01    0.54092E+02
   372    0.19674E+04    0.20081E+02    0.33681E-01    0.52298E+02
   373    0.19513E+04    0.20163E+02    0.33779E-01    0.50490E+02
   374    0.19356E+04    0.20242E+02    0.33878E-01    0.48672E+02
   375    0.19204E+04    0.20317E+02    0.33976E-01    0.46843E+02
   376    0.19056E+04    0.20390E+02    0.34075E-01    0.45005E+02
   377    0.18913E+04    0.20458E+02    0.34173E-01    0.43159E+02
   378    0.18773E+04    0.20523E+02    0.34272E-01    0.41303E+02
   379    0.18638E+04    0.20585E+02    0.34371E-01    0.39441E+02
   380    0.18508E+04    0.20643E+02    0.34470E-01    0.37572E+02
   381    0.18381E+04    0.20696E+02    0.34569E-01    0.35697E+02
   382    0.18258E+04    0.20747E+02    0.34668E-01    0.33818E+02
   383    0.18140E+04    0.20793E+02    0.34768E-01    0.31933E+02
   384    0.18028E+04    0.20836E+02    0.34868E-01    0.30045E+02
   385    0.17918E+04    0.20876E+02    0.34968E-01    0.28154E+02
   386    0.17813E+04    0.20912E+02    0.35068E-01    0.26262E+02
   387    0.17712E+04    0.20943E+02    0.35169E-01    0.24368E+02
   388    0.17615E+04    0.20971E+02    0.35269E-01    0.22474E+02
   389    0.17523E+04    0.20993E+02    0.35371E-01    0.20580E+02
   390    0.17435E+04    0.21015E+02    0.35472E-01    0.18688E+02
   391    0.17352E+04    0.21031E+02    0.35575E-01    0.16797E+02
   392    0.17272E+04    0.21046E+02    0.35677E-01    0.14910E+02
   393    0.17197E+04    0.21055E+02    0.35780E-01    0.13025E+02
