#    L    TT             EE             TE             PP             TP          
   298    0.40287E+04    0.85132E+01    0.11584E+03    0.15348E+07    0.26511E+00
   299    0.39958E+04    0.86852E+01    0.11623E+03    0.15288E+07    0.12869E+00
   300    0.39627E+04    0.88571E+01    0.11659E+03    0.15228E+07    0.00000E+00
   301    0.39295E+04    0.90305E+01    0.11692E+03    0.15168E+07   -0.12032E+00
   302    0.38964E+04    0.92046E+01    0.11722E+03    0.15109E+07   -0.23232E+00
   303    0.38632E+04    0.93802E+01    0.11747E+03    0.15050E+07   -0.33620E+00
   304    0.38299E+04    0.95572E+01    0.11769E+03    0.14992E+07   -0.43218E+00
   305    0.37966E+04    0.97342E+01    0.11787E+03    0.14933E+07   -0.52047E+00
   306    0.37633E+04    0.99120E+01    0.11802E+03    0.14875E+07   -0.60129E+00
   307    0.37299E+04    0.10090E+02    0.11812E+03    0.14818E+07   -0.67485E+00
   308    0.36966E+04    0.10271E+02    0.11820E+03    0.14761E+07   -0.74136E+00
   309    0.36633E+04    0.10451E+02    0.11823E+03    0.14704E+07   -0.80104E+00
   310    0.36299E+04    0.10631E+02    0.11823E+03    0.14647E+07   -0.85410E+00
   311    0.35967E+04    0.10813E+02    0.11819E+03    0.14591E+07   -0.90076E+00
   312    0.35634E+04    0.10995E+02    0.11812E+03    0.14535E+07   -0.94122E+00
   313    0.35302E+04    0.11177E+02    0.11800E+03    0.14479E+07   -0.97571E+00
   314    0.34971E+04    0.11360E+02    0.11786E+03    0.14424E+07   -0.10044E+01
   315    0.34640E+04    0.11542E+02    0.11767E+03    0.14369E+07   -0.10276E+01
   316    0.34311E+04    0.11725E+02    0.11744E+03    0.14314E+07   -0.10454E+01
   317    0.33981E+04    0.11907E+02    0.11718E+03    0.14260E+07   -0.10581E+01
