#    L    TT             EE             TE             PP             TP          
   265    0.50033E+04    0.37501E+01    0.85158E+02    0.17576E+07    0.37905E+01
   266    0.49788E+04    0.38635E+01    0.86510E+02    0.17502E+07    0.38540E+01
   267    0.49537E+04    0.39788E+01    0.87834E+02    0.17428E+07    0.38985E+01
   268    0.49283E+04    0.40964E+01    0.89142E+02    0.17354E+07    0.39247E+01
   269    0.49023E+04    0.42161E+01    0.90429E+02    0.17281E+07    0.39335E+01
   270    0.48761E+04    0.43379E+01    0.91693E+02    0.17209E+07    0.39257E+01
   271    0.48494E+04    0.44618E+01    0.92936E+02    0.17137E+07    0.39020E+01
   272    0.48226E+04    0.45880E+01    0.94149E+02    0.17065E+07    0.38635E+01
   273    0.47953E+04    0.47159E+01    0.95348E+02    0.16994E+07    0.38107E+01
   274    0.47677E+04    0.48462E+01    0.96510E+02    0.16924E+07    0.37446E+01
   275    0.47397E+04    0.49783E+01    0.97657E+02    0.16854E+07    0.36659E+01
   276    0.47115E+04    0.51124E+01    0.98768E+02    0.16784E+07    0.35755E+01
   277    0.46829E+04    0.52486E+01    0.99864E+02    0.16715E+07    0.34742E+01
   278    0.46540E+04    0.53867E+01    0.10092E+03    0.16646E+07    0.33628E+01
   279    0.46249E+04    0.55268E+01    0.10195E+03    0.16578E+07    0.32421E+01
   280    0.45954E+04    0.56687E+01    0.10297E+03    0.16510E+07    0.31129E+01
   281    0.45658E+04    0.58127E+01    0.10395E+03    0.16443E+07    0.29761E+01
   282    0.45358E+04    0.59582E+01    0.10490E+03    0.16376E+07    0.28323E+01
   283    0.45056E+04    0.61057E+01    0.10582E+03    0.16310E+07    0.26826E+01
   284    0.44751E+04    0.62551E+01    0.10671E+03    0.16244E+07    0.25276E+01
   285    0.44445E+04    0.64062E+01    0.10757E+03    0.16178E+07    0.23682E+01
   286    0.44136E+04    0.65591E+01    0.10840E+03    0.16113E+07    0.22052E+01
   287    0.43824E+04    0.67136E+01    0.10920E+03    0.16048E+07    0.20394E+01
   288    0.43511E+04    0.68698E+01    0.10997E+03    0.15984E+07    0.18717E+01
   289    0.43196E+04    0.70276E+01    0.11070E+03    0.15920E+07    0.17027E+01
   290    0.42879E+04    0.71868E+01    0.11141E+03    0.15857E+07    0.15334E+01
   291    0.42561E+04    0.73483E+01    0.11208E+03    0.15794E+07    0.13646E+01
   292    0.42238E+04    0.75108E+01    0.11272E+03    0.15731E+07    0.11971E+01
   293    0.41917E+04    0.76741E+01    0.11332E+03    0.15668E+07    0.10316E+01
   294    0.41593E+04    0.78395E+01    0.11390E+03    0.15607E+07    0.86903E+00
   295    0.41270E+04    0.80057E+01    0.11443E+03    0.15545E+07    0.71017E+00
   296    0.40944E+04    0.81741E+01    0.11493E+03    0.15484E+07    0.55584E+00
   297    0.40617E+04    0.83425E+01    0.11541E+03    0.15423E+07    0.40684E+00
   298    0.40287E+04    0.85131E+01    0.11584E+03    0.15363E+07    0.26400E+00
   299    0.39958E+04    0.86851E+01    0.11623E+03    0.15302E+07    0.12811E+00
   300    0.39628E+04    0.88571E+01    0.11659E+03    0.15243E+07    0.00000E+00
   301    0.39296E+04    0.90306E+01    0.11692E+03    0.15183E+07   -0.11969E+00
   302    0.38965E+04    0.92048E+01    0.11722E+03    0.15124E+07   -0.23102E+00
   303    0.38633E+04    0.93805E+01    0.11747E+03    0.15066E+07   -0.33419E+00
   304    0.38300E+04    0.95577E+01    0.11769E+03    0.15007E+07   -0.42943E+00
   305    0.37967E+04    0.97348E+01    0.11787E+03    0.14949E+07   -0.51695E+00
   306    0.37633E+04    0.99127E+01    0.11802E+03    0.14892E+07   -0.59697E+00
   307    0.37300E+04    0.10091E+02    0.11812E+03    0.14834E+07   -0.66972E+00
   308    0.36966E+04    0.10272E+02    0.11820E+03    0.14777E+07   -0.73539E+00
   309    0.36633E+04    0.10452E+02    0.11823E+03    0.14721E+07   -0.79423E+00
   310    0.36300E+04    0.10632E+02    0.11823E+03    0.14664E+07   -0.84643E+00
   311    0.35967E+04    0.10814E+02    0.11818E+03    0.14608E+07   -0.89223E+00
   312    0.35635E+04    0.10996E+02    0.11811E+03    0.14553E+07   -0.93183E+00
   313    0.35303E+04    0.11178E+02    0.11799E+03    0.14497E+07   -0.96546E+00
   314    0.34971E+04    0.11361E+02    0.11785E+03    0.14442E+07   -0.99333E+00
   315    0.34641E+04    0.11544E+02    0.11766E+03    0.14388E+07   -0.10157E+01
   316    0.34311E+04    0.11727E+02    0.11743E+03    0.14333E+07   -0.10327E+01
   317    0.33982E+04    0.11909E+02    0.11717E+03    0.14279E+07   -0.10446E+01
