#    L    TT             EE             BB             TE             PP             TP             EP          
   167    0.47889E+04    0.89535E+00    0.00000E+00   -0.41159E+02    0.61756E-07   -0.29306E-05    0.47105E-08
   168    0.48162E+04    0.88543E+00    0.00000E+00   -0.40748E+02    0.61401E-07   -0.25592E-05    0.41135E-08
   169    0.48431E+04    0.87523E+00    0.00000E+00   -0.40310E+02    0.61048E-07   -0.21744E-05    0.34951E-08
   170    0.48697E+04    0.86497E+00    0.00000E+00   -0.39846E+02    0.60699E-07   -0.17837E-05    0.28670E-08
   171    0.48959E+04    0.85466E+00    0.00000E+00   -0.39354E+02    0.60353E-07   -0.13944E-05    0.22413E-08
   172    0.49217E+04    0.84420E+00    0.00000E+00   -0.38836E+02    0.60010E-07   -0.10140E-05    0.16298E-08
   173    0.49470E+04    0.83362E+00    0.00000E+00   -0.38292E+02    0.59670E-07   -0.64982E-06    0.10445E-08
   174    0.49720E+04    0.82320E+00    0.00000E+00   -0.37722E+02    0.59333E-07   -0.30936E-06    0.49725E-09
   175    0.49967E+04    0.81264E+00    0.00000E+00   -0.37124E+02    0.58998E-07    0.00000E+00    0.00000E+00
   176    0.50208E+04    0.80218E+00    0.00000E+00   -0.36499E+02    0.58667E-07    0.27239E-06   -0.43782E-09
   177    0.50445E+04    0.79173E+00    0.00000E+00   -0.35849E+02    0.58339E-07    0.50809E-06   -0.81668E-09
   178    0.50678E+04    0.78151E+00    0.00000E+00   -0.35171E+02    0.58013E-07    0.70894E-06   -0.11395E-08
   179    0.50906E+04    0.77123E+00    0.00000E+00   -0.34466E+02    0.57691E-07    0.87676E-06   -0.14092E-08
   180    0.51131E+04    0.76111E+00    0.00000E+00   -0.33736E+02    0.57371E-07    0.10134E-05   -0.16288E-08
   181    0.51350E+04    0.75115E+00    0.00000E+00   -0.32980E+02    0.57054E-07    0.11206E-05   -0.18012E-08
   182    0.51566E+04    0.74142E+00    0.00000E+00   -0.32197E+02    0.56740E-07    0.12003E-05   -0.19292E-08
   183    0.51775E+04    0.73185E+00    0.00000E+00   -0.31389E+02    0.56428E-07    0.12542E-05   -0.20159E-08
   184    0.51982E+04    0.72250E+00    0.00000E+00   -0.30554E+02    0.56120E-07    0.12842E-05   -0.20642E-08
   185    0.52183E+04    0.71354E+00    0.00000E+00   -0.29695E+02    0.55813E-07    0.12922E-05   -0.20770E-08
   186    0.52376E+04    0.70482E+00    0.00000E+00   -0.28809E+02    0.55510E-07    0.12799E-05   -0.20572E-08
   187    0.52568E+04    0.69647E+00    0.00000E+00   -0.27897E+02    0.55209E-07    0.12491E-05   -0.20078E-08
   188    0.52755E+04    0.68848E+00    0.00000E+00   -0.26961E+02    0.54911E-07    0.12018E-05   -0.19316E-08
   189    0.52935E+04    0.68089E+00    0.00000E+00   -0.26000E+02    0.54615E-07    0.11396E-05   -0.18317E-08
   190    0.53115E+04    0.67375E+00    0.00000E+00   -0.25015E+02    0.54322E-07    0.10644E-05   -0.17109E-08
   191    0.53285E+04    0.66708E+00    0.00000E+00   -0.24004E+02    0.54031E-07    0.97816E-06   -0.15722E-08
   192    0.53451E+04    0.66090E+00    0.00000E+00   -0.22969E+02    0.53743E-07    0.88253E-06   -0.14185E-08
   193    0.53612E+04    0.65525E+00    0.00000E+00   -0.21911E+02    0.53457E-07    0.77940E-06   -0.12528E-08
   194    0.53769E+04    0.65017E+00    0.00000E+00   -0.20829E+02    0.53174E-07    0.67057E-06   -0.10778E-08
   195    0.53920E+04    0.64570E+00    0.00000E+00   -0.19724E+02    0.52893E-07    0.55787E-06   -0.89669E-09
   196    0.54065E+04    0.64185E+00    0.00000E+00   -0.18596E+02    0.52615E-07    0.44312E-06   -0.71225E-09
   197    0.54205E+04    0.63869E+00    0.00000E+00   -0.17445E+02    0.52339E-07    0.32814E-06   -0.52744E-09
   198    0.54341E+04    0.63624E+00    0.00000E+00   -0.16272E+02    0.52065E-07    0.21475E-06   -0.34518E-09
   199    0.54471E+04    0.63452E+00    0.00000E+00   -0.15078E+02    0.51793E-07    0.10476E-06   -0.16839E-09
   200    0.54596E+04    0.63357E+00    0.00000E+00   -0.13862E+02    0.51524E-07    0.00000E+00    0.00000E+00
   201    0.54716E+04    0.63344E+00    0.00000E+00   -0.12625E+02    0.51257E-07   -0.98053E-07    0.15760E-09
   202    0.54830E+04    0.63415E+00    0.00000E+00   -0.11367E+02    0.50992E-07   -0.18924E-06    0.30418E-09
   203    0.54938E+04    0.63575E+00    0.00000E+00   -0.10088E+02    0.50729E-07   -0.27375E-06    0.44001E-09
   204    0.55040E+04    0.63826E+00    0.00000E+00   -0.87908E+01    0.50468E-07   -0.35175E-06    0.56538E-09
   205    0.55137E+04    0.64173E+00    0.00000E+00   -0.74733E+01    0.50210E-07   -0.42342E-06    0.68058E-09
   206    0.55227E+04    0.64620E+00    0.00000E+00   -0.61367E+01    0.49954E-07   -0.48895E-06    0.78591E-09
   207    0.55311E+04    0.65167E+00    0.00000E+00   -0.47815E+01    0.49700E-07   -0.54851E-06    0.88164E-09
